universe,ptm,radius,n_proteins,n_successes,fraction,fraction_ci_low,fraction_ci_high,mean_observed_close_pair_fraction,mean_null_close_pair_fraction,group_fold,median_excess,mean_excess
all_eligible_residues,oglcnac,30,1057,946,0.8949858088930936,0.8750519067661532,0.9120591106786634,0.4278855677537885,0.09664112465166345,4.4275723124712565,0.2587991718426501,0.3312444431021251
all_eligible_residues,phospho,5,12404,9839,0.7932118671396324,0.785994321057855,0.8002478568536735,0.09448650780322125,0.025173959329884504,3.753343149762479,0.0302297115437348,0.0693125484733367
all_eligible_residues,phospho,10,12404,10523,0.8483553692357304,0.841935535893036,0.8545595014332534,0.15002885002152228,0.04882882717295008,3.07254666367728,0.0518709506007002,0.10120002284857214
all_eligible_residues,phospho,15,12404,10672,0.8603676233473073,0.8541563642771632,0.8663557433017568,0.18790433516653707,0.07123841579879592,2.6376826752752276,0.06286083100728405,0.11666591936774111
all_eligible_residues,phospho,20,12404,10682,0.8611738148984198,0.8549770821202759,0.8671469093682166,0.2168659434643217,0.09325448326069558,2.3255283379574014,0.06946992155591286,0.12361146020362608
all_eligible_residues,phospho,25,12404,10613,0.8556110931957434,0.8493155092831035,0.8616864832293387,0.24111697025078588,0.1144096581446414,2.107487900592762,0.0717869849448796,0.12670731210614442
all_eligible_residues,phospho,30,12404,10593,0.8539987100935182,0.8476750660461595,0.8601031586471376,0.2641367715094962,0.1355735312350774,1.9482915957355784,0.0738037661721872,0.12856324027441876
all_eligible_residues,ubiquitination,5,5613,2546,0.45358988063424194,0.4406021202001471,0.4666411224977892,0.05050061399203455,0.03136889493495131,1.6098945817745918,-0.0016355362616858,0.019131719057083215
all_eligible_residues,ubiquitination,10,5613,3359,0.5984322109388919,0.5855446881051126,0.6111850946564618,0.10009764130153978,0.06010203287313826,1.6654618241087313,0.0095238095238095,0.039995608428401504
all_eligible_residues,ubiquitination,15,5613,3728,0.6641724567967219,0.6517087093677758,0.6764116432381804,0.14281865377145464,0.0872423696599126,1.6370331792704509,0.0180599461421379,0.05557628411154205
all_eligible_residues,ubiquitination,20,5613,3860,0.687689292713344,0.67544055706624,0.6996813001994951,0.17839150106541116,0.11279661442942991,1.5815324065158005,0.0235294117647058,0.06559488663598119
all_eligible_residues,ubiquitination,25,5613,3900,0.694815606627472,0.6826390957509032,0.7067256417147649,0.21068582285159032,0.1377409667175256,1.529579963553309,0.0274509803921568,0.07294485613406468
all_eligible_residues,ubiquitination,30,5613,3906,0.6958845537145911,0.6837191679788595,0.7077820015167986,0.2390357389133388,0.16162375185475622,1.4789641755634353,0.0302318578741342,0.07741198705858256
observed_residue_union,acetylation,5,2966,1349,0.4548213081591369,0.4369706526373707,0.47278884001028704,0.0602664539376847,0.036416143572856205,1.6549378386844342,0.0,0.023850310364828473
observed_residue_union,acetylation,10,2966,1709,0.5761968981793661,0.5583255462282807,0.593871130351043,0.11583254899974235,0.07413493621805842,1.5624556370971407,0.005925229741019149,0.04169761278168391
observed_residue_union,acetylation,15,2966,1814,0.6115981119352664,0.5939242452406737,0.6289832766520527,0.15604284966294052,0.10633755523673145,1.4674293509527638,0.0108545792808303,0.04970529442620905
observed_residue_union,acetylation,20,2966,1802,0.6075522589345921,0.5898509855908867,0.6249752968374509,0.18563763230206257,0.13452418965506163,1.3799572610551514,0.0119047619047619,0.05111344264700088
observed_residue_union,acetylation,25,2966,1786,0.6021577882670263,0.5844219352955559,0.6196293611802629,0.21090747106828728,0.15947591758803825,1.3225035745717304,0.0122573275824049,0.051431553480249005
observed_residue_union,acetylation,30,2966,1784,0.6014834794335806,0.5837434610114939,0.6189609622202602,0.23430573253752862,0.1833130547647549,1.278172647541183,0.0121503496503496,0.05099267777277374
observed_residue_union,oglcnac,5,1041,819,0.7867435158501441,0.7608303995812425,0.8105481526000905,0.2070680270219412,0.044578495925229916,4.6450204908045745,0.1113821138211382,0.16248953109671121
observed_residue_union,oglcnac,10,1041,896,0.8607108549471661,0.8383480988852864,0.8804212356007789,0.3045496553826502,0.07615215743261547,3.999225572199135,0.1702741702741702,0.2283974979500347
observed_residue_union,oglcnac,15,1041,912,0.8760806916426513,0.8546716332018041,0.8947243573475825,0.35621170520689993,0.10088424054184571,3.530895443071181,0.2068376068376068,0.2553274646650542
observed_residue_union,oglcnac,20,1041,906,0.8703170028818443,0.8485394802093186,0.8893715143163222,0.3839533898494996,0.12244445064978175,3.1357353298737185,0.2108424908424908,0.26150893919971774
observed_residue_union,oglcnac,25,1041,903,0.8674351585014409,0.8454783807992674,0.8866901157145008,0.40430975466808367,0.1415872369027414,2.8555522624246894,0.2079772079772079,0.2627225177653423
observed_residue_union,oglcnac,30,1041,901,0.8655139289145053,0.8434394289651134,0.8849007355407398,0.4231054974961886,0.1586509051461872,2.6668962090466644,0.206060606060606,0.2644545923500013
observed_residue_union,phospho,5,2647,1860,0.702682281828485,0.6849862122725178,0.7197909185625174,0.059927972657664585,0.05064602538656096,1.183270991163832,0.0021922851644213,0.009281947271103602
observed_residue_union,phospho,10,2647,1841,0.6955043445409897,0.6777002485081444,0.7127418115237861,0.09750021676906771,0.08430147766684196,1.1565659282318508,0.0033394474687724,0.013198739102225748
observed_residue_union,phospho,15,2647,1798,0.6792595391008689,0.6612293588908505,0.696770172481422,0.12458863019067921,0.10933537808497384,1.1395088430924047,0.0038961038961038,0.015253252105705366
observed_residue_union,phospho,20,2647,1743,0.6584812995844352,0.6401977663638206,0.6763055074205174,0.1460427914372871,0.13164964775285218,1.1093291469450446,0.0038961038961038,0.014393143684434888
observed_residue_union,phospho,25,2647,1693,0.6395919909331318,0.6211115810507031,0.6576678221991488,0.16503377657971663,0.15110676615775484,1.0921666896598268,0.0036630036630036,0.013927010421961789
observed_residue_union,phospho,30,2647,1668,0.6301473366074801,0.6115800457679051,0.6483374222147037,0.18388753199792912,0.16991106810329684,1.0822575247784054,0.0033416875522138,0.01397646389463228
observed_residue_union,ubiquitination,5,3194,1311,0.41045710707576705,0.39351484936022685,0.42761449449068956,0.03851666796425822,0.0345247602706745,1.1156244869562344,0.0,0.003991907693583711
observed_residue_union,ubiquitination,10,3194,1617,0.5062617407639324,0.4889259325419827,0.5235825049509603,0.07983739291557355,0.07158119078184597,1.1153403854217732,0.00021100911888465002,0.008256202133727578
observed_residue_union,ubiquitination,15,3194,1743,0.5457107075767064,0.5283986373463189,0.5629129563521643,0.1163507722927717,0.1032478418864204,1.126907547576301,0.0017707991392201501,0.013102930406351276
observed_residue_union,ubiquitination,20,3194,1755,0.5494677520350657,0.53216360398496,0.566653052209289,0.14771441315434394,0.131132794020556,1.1264490645352119,0.00253887707914335,0.01658161913378793
observed_residue_union,ubiquitination,25,3194,1775,0.5557294927989981,0.5384407535354433,0.5728843401517484,0.17602766492551628,0.15684627926876996,1.122294170739475,0.0032120446733173496,0.019181385656746302
observed_residue_union,ubiquitination,30,3194,1779,0.5569818409517846,0.5396965150019094,0.5741302661838711,0.20095986073280633,0.17995533030458338,1.1167208017271382,0.0036630036630036,0.02100453042822293
