universe,ptm,radius,n_proteins,n_sites,mean_observed_close_pair_fraction,mean_null_close_pair_fraction,mean_effect,fold_of_equal_protein_means,population_ci_low,population_ci_high,population_t_p_greater,population_log10_p_greater,exact_selection_null_se,exact_selection_z,exact_selection_p_greater,exact_selection_log10_p_greater,weighting,global_bh_q_population,global_bh_q_exact_null,primary_holm_p_population,primary_holm_p_exact_null
observed_residue_union,phospho,10,2647,66985,0.09750021676906771,0.08430147766684196,0.013198739102225748,1.1565659282318508,0.010771609457517973,0.015625868746933523,2.5341043378762894e-26,-25.596175507672363,0.000984231784483026,13.410193930242224,2.6350418264816174e-41,-40.57921248676414,equal_protein,3.200973900475313e-26,3.328473886082043e-41,,
observed_residue_union,ubiquitination,10,3194,37873,0.07983739291557355,0.07158119078184597,0.008256202133727578,1.1153403854217732,0.005571266399130361,0.010941137868324796,9.181233651484257e-10,-9.03709896018918,0.0012165032117519867,6.786831349041109,5.731153338398363e-12,-11.241757971732548,equal_protein,9.376579048324348e-10,5.8530927711302436e-12,,
observed_residue_union,acetylation,15,2966,25938,0.15604284966294052,0.10633755523673145,0.04970529442620905,1.4674293509527638,0.044629187116026606,0.0547814017363915,7.812597562304112e-78,-77.10720454622313,0.0017206525974280417,28.887466592911554,8.578447099957974e-184,-183.06659132251934,equal_protein,1.250015609968658e-77,1.372551535993276e-183,,
observed_residue_union,oglcnac,15,1041,9220,0.35621170520689993,0.10088424054184571,0.2553274646650542,3.530895443071181,0.23913321610215213,0.2715217132279562,7.853484244678914e-150,-149.10493762318842,0.003687515300289371,69.2410590526954,0.0,-1043.3138291865673,equal_protein,1.6389880162808168e-149,0.0,,
observed_residue_union,phospho,15,2647,66985,0.12458863019067921,0.10933537808497384,0.015253252105705366,1.1395088430924047,0.012559323403642127,0.017947180807768606,2.509575959943753e-28,-27.600399654540535,0.0010668388872289972,14.297615402194515,1.1321816846185151e-46,-45.946083875006494,equal_protein,3.2556661101973014e-28,1.4687762395051008e-46,,
observed_residue_union,ubiquitination,15,3194,37873,0.1163507722927717,0.1032478418864204,0.013102930406351276,1.126907547576301,0.009947580318599793,0.01625828049410276,2.756513041237565e-16,-15.559639948505184,0.0014128849527753498,9.273883468440234,8.97445059738973e-21,-20.046992128802597,equal_protein,2.87636143433485e-16,9.364644101624067e-21,,
observed_residue_union,acetylation,20,2966,25938,0.18563763230206257,0.13452418965506163,0.05111344264700088,1.3799572610551514,0.04569513258064699,0.05653175271335477,1.1117331880450083e-72,-71.95399942935776,0.0018886034482803846,27.06414768729815,1.3016672098810446e-161,-160.88550003526566,equal_protein,1.6675997820675123e-72,1.9525008148215667e-161,,
observed_residue_union,oglcnac,20,1041,9220,0.3839533898494996,0.12244445064978175,0.26150893919971774,3.1357353298737185,0.24504999871484812,0.27796787968458736,1.65168020622745e-151,-150.7820740357778,0.00401117790321459,65.19504881350248,0.0,-925.1748213666853,equal_protein,3.7752690428056006e-151,0.0,,
observed_residue_union,phospho,20,2647,66985,0.1460427914372871,0.13164964775285218,0.014393143684434888,1.1093291469450446,0.011584191760872196,0.01720209560799758,1.2276346620676912e-23,-22.910930857832092,0.0011228042512708022,12.81892517608886,6.423450719979666e-38,-37.192231603389544,equal_protein,1.4030110423630758e-23,7.905785501513434e-38,,
observed_residue_union,ubiquitination,20,3194,37873,0.14771441315434394,0.131132794020556,0.01658161913378793,1.1264490645352119,0.013077636342906474,0.020085601924669388,1.5400309009486088e-20,-19.81247056489287,0.0015509378632618052,10.691349748154856,5.586647160584548e-27,-26.252848756785536,equal_protein,1.680033710125755e-20,5.959090304623518e-27,,
observed_residue_union,acetylation,25,2966,25938,0.21090747106828728,0.15947591758803825,0.051431553480249005,1.3225035745717304,0.04587023433565957,0.05699287262483844,4.477622286994416e-70,-69.3489525444311,0.002021687715212854,25.439909978794137,4.564739649282482e-143,-142.3405839874844,equal_protein,6.51290514471915e-70,6.639621308047246e-143,,
