universe,radius,contrast,oglcnac_fold,control_fold,fold_ratio,bootstrap_ci_low,bootstrap_ci_high,n_common_proteins,n_bootstrap,resampling_unit,estimand
observed_residue_union,5,oglcnac_over_ubiquitination,5.342536631795396,1.1515918680644295,4.639262207343489,3.883215783776054,5.5994744144613735,507,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
observed_residue_union,10,oglcnac_over_acetylation,4.371817984414156,1.4931430325188737,2.9279298025716063,2.614597528112318,3.2909678795532513,518,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
observed_residue_union,10,oglcnac_over_phospho,4.102194473721055,1.0174065875346783,4.032010922655081,3.7513308146895725,4.323696349577275,959,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
observed_residue_union,10,oglcnac_over_ubiquitination,4.445296557523164,1.1956120406602206,3.718009192236353,3.2560394265968617,4.26725884459537,507,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
observed_residue_union,15,oglcnac_over_acetylation,3.815480359006611,1.389800629573202,2.7453436685939034,2.4801653942992585,3.04823153493927,518,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
observed_residue_union,15,oglcnac_over_phospho,3.5950259842695833,1.0249566232104148,3.507490856548722,3.2789921507157382,3.7449369811438333,959,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
observed_residue_union,15,oglcnac_over_ubiquitination,3.8586082807166915,1.203851576482939,3.2052192779359423,2.8509132735214076,3.613172548091904,507,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
observed_residue_union,20,oglcnac_over_acetylation,3.4016847836643302,1.316816376011074,2.583264337863705,2.351426764908969,2.8373108593277334,518,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
observed_residue_union,20,oglcnac_over_phospho,3.186726430407668,1.0108790603056776,3.152430944057779,2.959720735994506,3.3524458698324007,959,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
observed_residue_union,20,oglcnac_over_ubiquitination,3.374274166388595,1.2130533038775102,2.7816371758790552,2.5085762601861292,3.092902624696866,507,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
observed_residue_union,25,oglcnac_over_acetylation,3.080402127195912,1.2824490162624778,2.401968490079491,2.197157249974208,2.6281835956567234,518,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
observed_residue_union,25,oglcnac_over_phospho,2.903230048367201,1.009745681762705,2.8752091747488886,2.7125473992508122,3.0494855976086375,959,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
observed_residue_union,25,oglcnac_over_ubiquitination,3.048267938913317,1.1887577149627495,2.5642466084931668,2.3249042087451075,2.829986734511009,507,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
observed_residue_union,30,oglcnac_over_acetylation,2.820833162128177,1.240645106582274,2.2736825762356823,2.0936515557510065,2.472767574871264,518,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
observed_residue_union,30,oglcnac_over_phospho,2.7047258166513126,1.0040869159229535,2.6937168224776014,2.546056258511233,2.846860493356497,959,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
observed_residue_union,30,oglcnac_over_ubiquitination,2.8223242850244294,1.1869389653624618,2.3778175351776083,2.1674892138325137,2.6095198420325625,507,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
