accession,within_protein_auroc
Q8N1G0,0.7902298850574713
Q8N3V7,0.8609374999999999
Q8N3X1,1.0
Q8N4C6,0.9624999999999999
Q8N8S7,0.857843137254902
Q8NA82,0.7808219178082192
Q8ND83,0.9795918367346939
Q8NDV7,0.9496053430479661
Q8NDX5,0.8536585365853658
Q8NEM7,0.9746376811594203
Q8NEZ2,0.9933333333333333
Q8NEZ4,0.7124999999999999
Q8NF91,0.3696900114810563
Q8NFC6,0.9090909090909091
Q8NFD5,0.6108597285067874
Q8NFH5,0.92
Q8NG31,0.9504504504504504
Q8TC07,1.0
Q8TC56,0.6826923076923077
Q8TCU4,0.7985767326732673
Q8TDM6,0.9726775956284154
Q8TEQ6,0.9683098591549296
Q8TF68,0.798136645962733
Q8TF74,0.7357142857142858
Q8WUH6,1.0
Q8WW12,0.0
Q8WWI1,0.9936708860759493
Q8WWM7,0.9231678486997635
Q8WX93,0.9615384615384615
Q8WXI9,0.8571428571428572
Q8WY36,0.9941860465116279
Q8WYP5,0.9228971962616823
Q8WYQ9,0.9127906976744186
Q92540,0.8452380952380953
Q92541,0.8203125
Q92576,0.9749568221070811
Q92615,0.8884615384615385
Q92733,1.0
Q92793,0.859375
Q92841,1.0
Q92917,1.0
Q92945,0.9479166666666666
Q93052,0.9716981132075472
Q96B49,1.0
Q96B97,0.7844827586206897
Q96BD5,0.9454545454545454
Q96CB8,0.9926470588235294
Q96EV2,0.9908256880733944
Q96HA1,0.7113289760348583
Q96HC4,0.8738738738738738
Q96I24,0.9666666666666667
Q96JH7,0.9739130434782608
Q96JM3,0.981981981981982
Q96K21,0.9166666666666666
Q96KM6,0.9590643274853801
Q96KR1,0.8964194373401535
Q96L91,0.9647686832740214
Q96M27,0.9642857142857143
Q96MY1,0.9722222222222222
Q96PK6,0.8836206896551724
Q96QT6,0.6344086021505376
Q96RN5,0.9821428571428572
Q96ST3,0.926470588235294
Q96T58,0.9255433193645843
Q99504,0.7755102040816327
Q99700,1.0
Q9BS26,1.0
Q9BTA9,0.7604166666666667
Q9BTC0,0.8969132207338381
Q9BUJ2,1.0
Q9BVL2,0.9150641025641026
Q9BWF3,0.9935897435897436
Q9BYJ9,0.9363636363636364
Q9C0A6,0.921401515151515
Q9C0C7,0.915289256198347
Q9H0E3,0.8249336870026525
Q9H0E9,0.9891304347826088
Q9H1B7,0.7887323943661971
Q9H1D0,0.9806763285024155
Q9H2F5,0.9700000000000001
Q9H2P0,0.8921568627450981
Q9H334,0.9576271186440678
Q9H4A3,0.7591102168566958
Q9H4G0,0.9443037974683545
Q9H4I2,0.8117469879518072
Q9H792,0.9927272727272727
Q9H8V3,0.9841269841269841
Q9H8Y8,0.6929824561403509
Q9HAP2,0.8492063492063492
Q9HB21,1.0
Q9HBD1,0.9310747663551402
Q9HBM6,0.875
Q9HC78,0.7164179104477613
Q9HCD5,0.9653679653679654
Q9HCD6,0.8342105263157895
Q9HCE3,0.9139344262295082
Q9HCK8,0.678
Q9NPG3,0.9808080808080808
Q9NPI6,0.845
Q9NQX3,0.9846153846153847
Q9NR12,0.868421052631579
Q9NSC7,1.0
Q9NTZ6,0.975609756097561
Q9NUW8,0.6909090909090909
Q9NXV6,0.9019230769230769
Q9NYF8,0.40963855421686746
Q9NYJ8,0.8893442622950819
Q9NYV4,0.9520333680917622
Q9NZN8,0.9318181818181819
Q9P2N5,0.7602627257799671
Q9P2N6,0.9673202614379085
Q9P2R6,0.8682432432432432
Q9UGU0,0.9882882882882882
Q9UH99,0.6428571428571429
Q9UHB7,0.8009259259259259
Q9UHD9,0.9351851851851851
Q9UHR5,1.0
Q9UIF8,0.966824644549763
Q9UIU6,0.9278499278499279
Q9UK61,0.7547169811320755
Q9UKD1,0.9481481481481481
Q9UKY1,0.8972602739726028
Q9ULH7,0.7
Q9ULM3,0.7904713114754098
Q9ULT8,0.9757085020242915
Q9ULU4,0.837962962962963
Q9UM82,0.9476744186046511
Q9UMS4,0.5535714285714286
Q9UPA5,0.6207327971403038
Q9UPN6,0.858695652173913
Q9UPN9,0.9350961538461539
Q9UPQ0,0.99
Q9UPZ3,0.9301587301587302
Q9UQ35,0.6889763779527559
Q9UQR0,0.9549180327868851
Q9Y2W1,0.9827586206896552
Q9Y2X9,0.7951807228915663
Q9Y467,0.9701086956521738
Q9Y4B4,0.8872901678657075
Q9Y520,0.8863257365202891
Q9Y580,0.8888888888888888
Q9Y5M8,0.95
Q9Y618,0.807161125319693
Q9Y678,0.8791666666666667
Q9Y692,0.9795918367346939
Q9Y6Q9,0.7673076923076922
Q9Y6Y8,0.9737335834896811
