radius,phosphosite_cdf,control_cdf,difference,ci_low,ci_high,n_proteins
33,0.1810149649345629,0.1721795792147551,0.0145095684478097,-0.0001470142875103,0.0292274176162887,471
34,0.1833342536860124,0.174664531448451,0.0138216168113798,-0.001061783046141,0.0287605441496933,471
35,0.1864266386879452,0.1783091280578717,0.0140092180098957,-0.0008528842847971,0.0287729564212676,471
36,0.1880832735104091,0.1814015130598045,0.0104236332256794,-0.0048048766802106,0.0263511899888803,471
37,0.1913413219945883,0.184273013418742,0.0116390402666543,-0.0045177429928617,0.0270456973125643,471
38,0.193881495389033,0.1869236291346844,0.0113737518058622,-0.0047296534574392,0.0269579309110585,471
39,0.196918659230217,0.1896294660113755,0.0113905821198129,-0.004715510098261,0.0269393377862503,471
40,0.1996244961069081,0.1925561875310619,0.0107405535090485,-0.0055720332342443,0.026720139941688,471
41,0.2021646695013529,0.1963112264619802,0.0097144083142799,-0.0062061023676646,0.0259829719895105,471
42,0.2047600640565464,0.1990722844994202,0.0084862830070179,-0.0073810678711337,0.0245934848498453,471
43,0.2072450162902424,0.2015020155723673,0.0093737751049554,-0.0070426014003752,0.0254622595603929,471
44,0.2096747473631895,0.2036556408415704,0.0089090206017959,-0.0077259572390649,0.0252348414570649,471
45,0.2127119112043735,0.206251035396764,0.0093375500451434,-0.0069727529115718,0.0257505235088125,471
46,0.2157490750455574,0.2085703241482135,0.0114272188025302,-0.0043844335369371,0.0277435627790539,471
47,0.2178474791540118,0.2114970456678999,0.0101010907812899,-0.0064532573375575,0.0255185600141342,471
48,0.2200563255839637,0.2138163344193495,0.0094047434958099,-0.0068932541491526,0.0247036219300934,471
49,0.2225412778176597,0.2163012866530454,0.0090216885156604,-0.0069649482742775,0.0251517604117793,471
50,0.2250262300513557,0.2187862388867414,0.0088811929814646,-0.0068899716127475,0.0251876308434806,471
51,0.2277320669280468,0.2209398641559445,0.0092796926257658,-0.006765560360798,0.0248436913136026,471
52,0.2302170191617427,0.2233695952288917,0.0099072677117868,-0.0062308148884274,0.0260343714030344,471
53,0.2327571925561875,0.2257993263018388,0.009559097253644,-0.0065671624969775,0.0261986944971082,471
54,0.2350212601468883,0.2283947208570324,0.0101954410306793,-0.0055993766781551,0.0262381995509487,471
55,0.2376166547020818,0.2301065768402451,0.0114553127537048,-0.0052339569615631,0.0276239799477035,471
56,0.2394389530067922,0.2329228560384339,0.0106230423800817,-0.005285407358831,0.0274657720936406,471
57,0.2416477994367441,0.2351317024683858,0.0103027618369569,-0.0060503002850346,0.0273640070626434,471
58,0.2445192997956817,0.2379479816665746,0.0097638185234805,-0.0064500551870557,0.0263139919037478,471
59,0.246617703904136,0.240598597382517,0.0091427663300517,-0.0075816170045773,0.0253734793905755,471
60,0.2495444254238224,0.2430283284554641,0.009423729652564,-0.0082790529305093,0.0260865952470899,471
