kinase,cluster_mean_percentile,control_mean_percentile,delta,family,n_pairs
PKCZ,55.08398282208581,55.884586503067595,-0.8006036809817871,AGC,4075
SIK,47.170507975460175,47.960301840491006,-0.7897938650308305,CAMK,4075
CAMK2D,47.63665766871159,48.411531288343504,-0.7748736196319115,CAMK,4075
RSK3,43.719217177914196,44.46689079754602,-0.7476736196318257,AGC,4075
AKT1,48.315312883435695,49.058014723926405,-0.7427018404907102,AGC,4075
AURB,50.76701349693255,51.5034846625768,-0.7364711656442537,Other,4075
TBK1,51.44989447852746,52.150500613496924,-0.7006061349694619,Other,4075
AKT2,43.41409325153361,44.10397546012286,-0.6898822085892533,AGC,4075
MNK1,47.58183803680984,48.24669202454011,-0.6648539877302682,CAMK,4075
CK1G1,46.92757546012263,47.55993865030667,-0.6323631901840372,CK1,4075
MYO3B,66.5017030674846,67.12649325153386,-0.6247901840492602,STE,4075
PKACA,44.66108957055216,45.27279263803708,-0.6117030674849246,AGC,4075
RIPK3,59.690341104294625,60.287936196319095,-0.5975950920244699,TKL,4075
TAO1,59.48325153374243,60.070476073619695,-0.587224539877262,STE,4075
QSK,46.54745276073626,47.1175901840493,-0.5701374233130352,CAMK,4075
HPK1,56.81315582822097,57.37918036809815,-0.5660245398771764,STE,4075
MARK4,47.97709938650307,48.49595337423313,-0.5188539877300613,CAMK,4075
MYLK4,48.33741104294478,48.8157791411044,-0.47836809815962056,CAMK,4075
PKACG,46.24941349693242,46.660628220858676,-0.4112147239262569,AGC,4075
AKT3,46.83877300613484,47.24707484662575,-0.4083018404909069,AGC,4075
CDK3,39.100274846625666,39.50369570552146,-0.4034208588957924,CMGC,4075
PRKD2,44.30653742331284,44.6974036809817,-0.3908662576688613,CAMK,4075
NUAK2,41.39589202453982,41.773229447852586,-0.3773374233127669,CAMK,4075
HGK,64.99270184049087,65.34895214723934,-0.35625030674847835,STE,4075
CHK2,52.751079754600944,53.08765398773013,-0.3365742331291841,CAMK,4075
DNAPK,40.19779386503073,40.47627975460115,-0.278485889570419,PIKK,4075
NIM1,48.734566871165605,48.974240490797655,-0.23967361963205036,CAMK,4075
SRPK1,30.354537423312973,30.55011042944792,-0.19557300613494633,CMGC,4075
NEK11,62.51349202453986,62.66615214723919,-0.1526601226993307,Other,4075
CK1A,43.26211779141101,43.3831926380369,-0.12107484662589485,CK1,4075
