definition_id,core_gap,minimum_sites,final_gap,is_primary,regions,core_sites,region_bearing_proteins,median_span,maximum_span,fraction_validated_sites,primary_site_recall,variant_site_precision,site_jaccard,primary_interval_overlap
core6_min4_final12,6,4,12,False,509,3372,311,12.0,199,0.26995436714434395,0.7490467111534795,0.9320877817319099,0.7102824858757062,0.6116504854368932
core7_min4_final8,7,4,8,False,567,3643,325,13.0,162,0.2916499879913538,0.776930409914204,0.8948668679659622,0.711945839702992,0.6444174757281553
core7_min4_final10,7,4,10,False,552,3643,325,13.0,162,0.2916499879913538,0.776930409914204,0.8948668679659622,0.711945839702992,0.6444174757281553
core7_min4_final12,7,4,12,False,542,3643,325,13.0,199,0.2916499879913538,0.776930409914204,0.8948668679659622,0.711945839702992,0.6444174757281553
core3_min5_final8,3,5,8,False,168,1113,109,9.0,37,0.08910415499159395,0.26525262154432794,1.0,0.26525262154432794,0.1941747572815534
core3_min5_final10,3,5,10,False,167,1113,109,9.0,37,0.08910415499159395,0.26525262154432794,1.0,0.26525262154432794,0.1941747572815534
core3_min5_final12,3,5,12,False,163,1113,109,10.0,37,0.08910415499159395,0.26525262154432794,1.0,0.26525262154432794,0.1941747572815534
core4_min5_final8,4,5,8,False,250,1741,156,11.0,71,0.13938035385477543,0.41491897044804577,1.0,0.41491897044804577,0.28883495145631066
core4_min5_final10,4,5,10,False,247,1741,156,12.0,71,0.13938035385477543,0.41491897044804577,1.0,0.41491897044804577,0.28883495145631066
core4_min5_final12,4,5,12,False,244,1741,156,12.0,71,0.13938035385477543,0.41491897044804577,1.0,0.41491897044804577,0.28883495145631066
core5_min5_final8,5,5,8,False,293,2185,179,13.0,81,0.17492594668161077,0.5207340324118208,1.0,0.5207340324118208,0.35072815533980584
core5_min5_final10,5,5,10,False,289,2185,179,13.0,81,0.17492594668161077,0.5207340324118208,1.0,0.5207340324118208,0.35072815533980584
core5_min5_final12,5,5,12,False,288,2185,179,13.0,81,0.17492594668161077,0.5207340324118208,1.0,0.5207340324118208,0.35072815533980584
core6_min5_final8,6,5,8,False,336,2568,206,15.0,162,0.20558802337683132,0.5805529075309819,0.9485981308411215,0.5628465804066544,0.4053398058252427
core6_min5_final10,6,5,10,False,330,2568,206,15.0,162,0.20558802337683132,0.5805529075309819,0.9485981308411215,0.5628465804066544,0.4053398058252427
core6_min5_final12,6,5,12,False,326,2568,206,15.0,199,0.20558802337683132,0.5805529075309819,0.9485981308411215,0.5628465804066544,0.4053398058252427
core7_min5_final8,7,5,8,False,362,2799,220,16.0,162,0.2240813385637659,0.6127264061010487,0.9185423365487674,0.5811482820976492,0.433252427184466
core7_min5_final10,7,5,10,False,353,2799,220,16.0,162,0.2240813385637659,0.6127264061010487,0.9185423365487674,0.5811482820976492,0.433252427184466
core7_min5_final12,7,5,12,False,346,2799,220,16.0,199,0.2240813385637659,0.6127264061010487,0.9185423365487674,0.5811482820976492,0.433252427184466
